"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","240,78","757","","137","","47",""
"Stormarn","OD","225,74","549","","54","","35",""
"Kiel","KI","175,72","435","+1","78","","11",""
"Segeberg","SE","151,43","418","+1","45","","7",""
"Rendsburg-Eckernförde","RD","122,08","333","","51","","14",""
"Herzogtum Lauenburg","RZ","161,21","318","","51","","18",""
"Lübeck","HL","104,05","226","","11","","1",""
"Steinburg","IZ","153,03","201","","25","","3",""
"Schleswig-Flensburg","SL","88,49","177","","20","","4",""
"Dithmarschen","HEI","116,36","155","","25","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","145,94","116","+4","10","","3",""
"Nordfriesland","NF","66,46","110","","16","","2",""
"Ostholstein","OH","47,86","96","","14","","0",""
"Flensburg","FL","90,50","81","","6","","3",""
"-"
"Schleswig-Holstein","SH","142,44","4.126","+6","578","","161",""

"Datenstand 06.09.2020 19:54:42"
