"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","235,08","735","+3","135","+1","47",""
"Stormarn","OD","217,34","527","","53","","35",""
"Kiel","KI","170,60","423","","78","","11",""
"Segeberg","SE","145,61","399","+4","44","","7",""
"Rendsburg-Eckernförde","RD","118,67","324","+2","50","","14",""
"Herzogtum Lauenburg","RZ","154,53","303","+4","50","","18",""
"Lübeck","HL","100,78","218","","11","","1",""
"Steinburg","IZ","151,20","199","+1","25","","3",""
"Schleswig-Flensburg","SL","88,72","177","+1","20","","4",""
"Plön","PLO","118,75","153","+1","35","","8",""
"Dithmarschen","HEI","113,15","151","+1","25","","4",""
"Nordfriesland","NF","62,25","103","+2","16","","2",""
"Neumünster","NMS","128,57","102","+1","10","","3",""
"Ostholstein","OH","46,86","94","","12","","0",""
"Flensburg","FL","81,34","72","","6","","3",""
"-"
"Schleswig-Holstein","SH","137,72","3.980","+20","570","+1","160",""

"Datenstand 26.08.2020 18:45:17"
