"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","193,82","606","","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","123,35","338","","42","","7",""
"Kiel","KI","119,79","297","","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","17",""
"Rendsburg-Eckernförde","RD","94,13","257","","46","","14",""
"Steinburg","IZ","142,84","188","","23","","3",""
"Lübeck","HL","81,82","177","","9","","1",""
"Schleswig-Flensburg","SL","80,20","160","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","110,94","3.206","","510","","154",""

"Datenstand 11.07.2020 19:05:35"
