"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","23","32","3","0"
"05-09","41","40","3","0"
"10-14","51","51","4","0"
"15-19","88","70","4","0"
"20-24","144","134","7","0"
"25-29","168","146","15","0"
"30-34","137","137","14","0"
"35-39","147","116","8","0"
"40-44","128","124","14","0"
"45-49","133","145","21","3"
"50-54","201","183","24","0"
"55-59","189","203","47","6"
"60-64","108","110","43","7"
"65-69","80","83","49","10"
"70-74","70","70","48","18"
"75-79","101","80","87","26"
"80-84","102","95","102","37"
"85-89","67","35","48","26"
"90+","72","19","28","27"

"Datenstand 24.08.2020 20:08:05"
