"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,86","603","","130","","46",""
"Stormarn","OD","178,16","432","+3","50","","33",""
"Segeberg","SE","123,35","338","","42","","7",""
"Kiel","KI","119,38","296","+1","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","17",""
"Rendsburg-Eckernförde","RD","94,13","257","","46","","14",""
"Steinburg","IZ","142,84","188","","23","","3",""
"Lübeck","HL","81,82","177","+1","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","+1","17","+1","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","110,73","3.200","+6","510","+1","153",""

"Datenstand 08.07.2020 18:03:03"
