"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","181,35","567","+4","116","+1","34",""
"Stormarn","OD","162,91","395","","41","+1","26","+1"
"Kiel","KI","110,11","273","+3","64","+2","9",""
"Herzogtum Lauenburg","RZ","134,13","263","+1","45","","11",""
"Rendsburg-Eckernförde","RD","87,54","239","+3","45","+1","14",""
"Segeberg","SE","87,22","239","+5","34","","3",""
"Lübeck","HL","76,28","165","-2","8","-1","1",""
"Steinburg","IZ","103,33","136","+4","19","+1","3",""
"Schleswig-Flensburg","SL","63,16","126","+1","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Nordfriesland","NF","48,95","81","","13","","1",""
"Neumünster","NMS","86,97","69","","8","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","97,93","2.830","+19","457","+5","120","+1"

"Datenstand 06.05.2020 20:34:04"
