"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","226,44","708","+1","133","","47",""
"Stormarn","OD","206,21","500","","53","","34",""
"Kiel","KI","155,68","386","+9","76","","10",""
"Segeberg","SE","137,58","377","+1","44","","7",""
"Rendsburg-Eckernförde","RD","115,01","314","+1","50","","14",""
"Herzogtum Lauenburg","RZ","148,92","292","","50","","18",""
"Lübeck","HL","91,53","198","","11","","1",""
"Steinburg","IZ","148,16","195","","25","","3",""
"Schleswig-Flensburg","SL","85,71","171","+1","20","","4",""
"Plön","PLO","117,20","151","","35","","8",""
"Dithmarschen","HEI","104,91","140","","24","","4",""
"Nordfriesland","NF","59,23","98","","16","","2",""
"Neumünster","NMS","121,01","96","","10","","3",""
"Ostholstein","OH","45,37","91","","12","","0",""
"Flensburg","FL","73,43","65","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","130,87","3.782","+14","565","","158",""

"Datenstand 15.08.2020 19:03:14"
