"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","224,52","702","+7","132","","47",""
"Stormarn","OD","205,38","498","+8","53","+1","34",""
"Segeberg","SE","136,85","375","","44","","7",""
"Kiel","KI","150,44","373","+3","76","+2","10",""
"Rendsburg-Eckernförde","RD","114,64","313","+5","49","","14",""
"Herzogtum Lauenburg","RZ","148,41","291","","50","","18",""
"Steinburg","IZ","148,16","195","+1","25","","3",""
"Lübeck","HL","89,68","194","+1","10","","1",""
"Schleswig-Flensburg","SL","85,21","170","","20","","4",""
"Plön","PLO","116,42","150","+3","35","","8",""
"Dithmarschen","HEI","104,16","139","","23","","4",""
"Nordfriesland","NF","58,62","97","","16","","2",""
"Neumünster","NMS","121,01","96","+1","10","","3",""
"Ostholstein","OH","44,37","89","+1","12","","0",""
"Flensburg","FL","70,04","62","","6","","3",""
"-"
"Schleswig-Holstein","SH","129,56","3.744","+30","561","+3","158",""

"Datenstand 13.08.2020 18:34:02"
