"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","227,72","712","+3","133","","47",""
"Stormarn","OD","211,16","512","+4","53","","35","+1"
"Kiel","KI","158,50","393","+3","78","+1","11","+1"
"Segeberg","SE","138,31","379","","44","","7",""
"Rendsburg-Eckernförde","RD","115,01","314","","50","","14",""
"Herzogtum Lauenburg","RZ","149,43","293","","50","","18",""
"Lübeck","HL","94,31","204","+2","11","","1",""
"Steinburg","IZ","148,16","195","","25","","3",""
"Schleswig-Flensburg","SL","86,72","173","+1","20","","4",""
"Plön","PLO","117,20","151","","35","","8",""
"Dithmarschen","HEI","109,41","146","+2","25","","4",""
"Nordfriesland","NF","59,23","98","","16","","2",""
"Neumünster","NMS","122,27","97","+1","10","","3",""
"Ostholstein","OH","45,37","91","","12","","0",""
"Flensburg","FL","75,69","67","+2","6","","3",""
"-"
"Schleswig-Holstein","SH","132,36","3.825","+18","568","+1","160","+2"

"Datenstand 18.08.2020 19:22:07"
