"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","25","34","4","0"
"05-09","44","42","3","0"
"10-14","54","54","4","0"
"15-19","94","72","4","0"
"20-24","152","140","7","0"
"25-29","172","156","15","0"
"30-34","142","144","14","0"
"35-39","149","119","8","0"
"40-44","133","127","14","0"
"45-49","134","147","21","3"
"50-54","201","186","24","0"
"55-59","190","207","47","6"
"60-64","108","112","43","7"
"65-69","80","84","49","10"
"70-74","70","71","48","18"
"75-79","102","80","88","26"
"80-84","103","95","102","37"
"85-89","68","35","48","26"
"90+","72","20","28","27"

"Datenstand 29.08.2020 19:52:15"
