"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","29","38","4","0"
"05-09","47","46","3","0"
"10-14","55","56","4","0"
"15-19","96","77","4","0"
"20-24","161","156","8","0"
"25-29","180","168","16","0"
"30-34","147","152","14","0"
"35-39","151","123","9","0"
"40-44","137","132","15","0"
"45-49","137","155","22","3"
"50-54","209","195","25","0"
"55-59","197","208","49","6"
"60-64","111","112","43","8"
"65-69","80","87","50","10"
"70-74","73","71","48","18"
"75-79","104","81","89","26"
"80-84","105","95","102","37"
"85-89","69","35","48","26"
"90+","72","20","28","27"

"Datenstand 08.09.2020 22:38:11"
