"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","173,63","421","+2","51","-1","33",""
"Segeberg","SE","121,16","332","","42","","7",""
"Kiel","KI","114,14","283","+1","66","+1","10",""
"Herzogtum Lauenburg","RZ","136,68","268","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","138,28","182","","23","","3",""
"Lübeck","HL","78,13","169","","9","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","-1","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","53,95","72","","15","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","108,86","3.146","+2","508","","152",""

"Datenstand 26.06.2020 19:01:56"
