"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","152,56","477","+4","88","+2","14","+1"
"Stormarn","OD","130,32","316","+12","28","+1","6","+2"
"Herzogtum Lauenburg","RZ","113,22","222","+10","38","+1","6","+1"
"Kiel","KI","87,52","217","+9","40","+1","7",""
"Plön","PLO","80,72","104","+3","23","+1","3",""
"Rendsburg-Eckernförde","RD","76,92","210","+7","38","+2","10",""
"Segeberg","SE","73,35","201","+1","28","+1","2",""
"Lübeck","HL","70,27","152","+1","8","","1",""
"Neumünster","NMS","57,98","46","+4","7","+1","1",""
"Steinburg","IZ","57,75","76","+1","15","+1","2",""
"Schleswig-Flensburg","SL","57,64","115","+2","10","","3",""
"Nordfriesland","NF","41,10","68","","11","","1",""
"Dithmarschen","HEI","40,47","54","","8","","2",""
"Flensburg","FL","37,28","33","","7","","1",""
"Ostholstein","OH","28,92","58","+1","5","","0",""
"-"
"Schleswig-Holstein","SH","81,29","2.349","+55","354","+11","59","+4"

"Datenstand 16.04.2020 20:30:24"
