"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","210,45","658","+2","130","","47",""
"Stormarn","OD","192,19","466","+12","51","","34",""
"Segeberg","SE","130,28","357","+1","44","","7",""
"Kiel","KI","134,71","334","+2","73","+2","10",""
"Herzogtum Lauenburg","RZ","142,80","280","","49","","17",""
"Rendsburg-Eckernförde","RD","102,19","279","+2","47","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","84,14","182","","10","","1",""
"Schleswig-Flensburg","SL","82,71","165","","19","","4",""
"Plön","PLO","106,33","137","+5","32","","8",""
"Dithmarschen","HEI","93,67","125","+2","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Ostholstein","OH","42,87","86","+1","12","+1","0",""
"Neumünster","NMS","105,88","84","","10","","2",""
"Flensburg","FL","64,39","57","","6","","3",""
"-"
"Schleswig-Holstein","SH","120,91","3.494","+27","546","+3","156",""

"Datenstand 03.08.2020 19:28:25"
