"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","213,65","668","+6","130","","47",""
"Stormarn","OD","196,31","476","+1","51","","34",""
"Segeberg","SE","131,74","361","+2","44","","7",""
"Kiel","KI","140,76","349","+6","72","-1","10",""
"Rendsburg-Eckernförde","RD","107,32","293","+10","49","","14",""
"Herzogtum Lauenburg","RZ","147,39","289","+4","50","","18",""
"Steinburg","IZ","144,36","190","","24","","3",""
"Lübeck","HL","85,98","186","+1","10","","1",""
"Schleswig-Flensburg","SL","83,71","167","+2","20","+1","4",""
"Plön","PLO","107,88","139","+1","32","","8",""
"Dithmarschen","HEI","95,17","127","","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Neumünster","NMS","108,40","86","+2","10","","3",""
"Ostholstein","OH","42,87","86","","12","","0",""
"Flensburg","FL","64,39","57","","6","","3",""
"-"
"Schleswig-Holstein","SH","123,50","3.569","+35","549","","158",""

"Datenstand 06.08.2020 18:22:28"
