"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","200,22","626","+2","130","","46",""
"Stormarn","OD","178,99","434","","50","","34",""
"Segeberg","SE","128,82","353","+1","44","+1","7",""
"Kiel","KI","125,43","311","","68","","10",""
"Herzogtum Lauenburg","RZ","139,74","274","+2","48","","17",""
"Rendsburg-Eckernförde","RD","95,96","262","+1","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","96,24","124","","27","","8",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Dithmarschen","HEI","60,70","81","","17","","4",""
"Ostholstein","OH","40,38","81","","8","+1","0",""
"Flensburg","FL","55,36","49","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","114,16","3.299","+7","522","+2","155",""

"Datenstand 23.07.2020 18:27:00"
