"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","","129","","44",""
"Stormarn","OD","172,39","418","+1","52","","32",""
"Segeberg","SE","120,06","329","+4","40","+3","5",""
"Kiel","KI","112,53","279","","64","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","135,24","178","","21","","3",""
"Lübeck","HL","77,20","167","","8","","1",""
"Schleswig-Flensburg","SL","77,69","155","","16","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","+1","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","47,45","42","","6","","3",""
"-"
"Schleswig-Holstein","SH","107,31","3.101","+6","498","+3","145",""

"Datenstand 01.06.2020 18:01:56"
