"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","221,01","691","+15","132","","47",""
"Stormarn","OD","201,67","489","+6","52","+1","34",""
"Segeberg","SE","134,66","369","+1","44","","7",""
"Kiel","KI","145,19","360","+8","74","+1","10",""
"Rendsburg-Eckernförde","RD","110,98","303","+3","49","","14",""
"Herzogtum Lauenburg","RZ","147,90","290","+1","50","","18",""
"Steinburg","IZ","144,36","190","","24","","3",""
"Lübeck","HL","86,91","188","","10","","1",""
"Schleswig-Flensburg","SL","85,21","170","+1","20","","4",""
"Plön","PLO","113,32","146","+1","35","","8",""
"Dithmarschen","HEI","103,41","138","+10","23","","4",""
"Nordfriesland","NF","58,62","97","","16","","2",""
"Neumünster","NMS","119,75","95","+5","10","","3",""
"Ostholstein","OH","43,87","88","+1","12","","0",""
"Flensburg","FL","68,91","61","+3","6","","3",""
"-"
"Schleswig-Holstein","SH","127,17","3.675","+55","557","+2","158",""

"Datenstand 11.08.2020 18:34:25"
