"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","18","3","0"
"05-09","18","22","2","0"
"10-14","25","21","3","0"
"15-19","62","50","4","0"
"20-24","117","94","4","0"
"25-29","134","123","13","0"
"30-34","111","119","11","0"
"35-39","123","90","5","0"
"40-44","107","99","10","0"
"45-49","108","124","21","3"
"50-54","177","162","24","0"
"55-59","180","189","45","6"
"60-64","105","102","42","7"
"65-69","75","76","47","9"
"70-74","66","65","45","18"
"75-79","95","75","81","26"
"80-84","100","90","97","36"
"85-89","63","35","46","25"
"90+","68","18","24","25"

"Datenstand 25.07.2020 18:29:05"
