"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","205,97","644","+9","130","","47",""
"Stormarn","OD","181,05","439","+2","50","","34",""
"Segeberg","SE","129,19","354","","44","","7",""
"Kiel","KI","127,85","317","+3","69","+1","10",""
"Herzogtum Lauenburg","RZ","141,27","277","+2","49","","17",""
"Rendsburg-Eckernförde","RD","97,79","267","+3","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","84,14","182","+1","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","99,35","128","+3","29","+1","8",""
"Dithmarschen","HEI","81,68","109","+12","22","","4",""
"Nordfriesland","NF","56,21","93","+1","16","+1","2",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Ostholstein","OH","40,88","82","","8","","0",""
"Flensburg","FL","61,00","54","+2","6","","3",""
"-"
"Schleswig-Holstein","SH","116,93","3.379","+38","532","+3","156",""

"Datenstand 28.07.2020 19:48:07"
