"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","247,14","777","+2","138","+1","47",""
"Stormarn","OD","231,50","563","","54","","35",""
"Kiel","KI","180,57","447","","79","","11",""
"Segeberg","SE","153,97","425","+1","45","","7",""
"Rendsburg-Eckernförde","RD","122,45","334","","51","","14",""
"Herzogtum Lauenburg","RZ","163,23","322","","51","","18",""
"Lübeck","HL","108,20","235","","11","","1",""
"Steinburg","IZ","153,79","202","","25","","3",""
"Schleswig-Flensburg","SL","89,99","180","","21","","4",""
"Dithmarschen","HEI","126,12","168","","27","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","158,52","126","","10","","3",""
"Nordfriesland","NF","67,07","111","","16","","2",""
"Ostholstein","OH","48,36","97","+1","14","","0",""
"Flensburg","FL","90,50","81","","6","","3",""
"-"
"Schleswig-Holstein","SH","145,75","4.222","+4","583","+1","161",""

"Datenstand 13.09.2020 10:42:21"
