"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","17","31","3","0"
"05-09","36","34","3","0"
"10-14","47","41","4","0"
"15-19","78","63","4","0"
"20-24","132","116","6","0"
"25-29","154","136","14","0"
"30-34","131","133","14","0"
"35-39","138","110","6","0"
"40-44","123","117","13","0"
"45-49","124","140","21","3"
"50-54","191","179","24","0"
"55-59","188","199","47","6"
"60-64","108","108","43","7"
"65-69","79","81","49","10"
"70-74","70","70","48","18"
"75-79","99","79","85","26"
"80-84","102","93","101","37"
"85-89","67","35","48","26"
"90+","72","19","28","25"

"Datenstand 13.08.2020 18:34:02"
