"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","12","2","0"
"05-09","12","13","0","0"
"10-14","10","9","3","0"
"15-19","49","34","3","0"
"20-24","93","69","4","0"
"25-29","119","88","11","0"
"30-34","83","87","8","0"
"35-39","95","72","4","0"
"40-44","79","70","7","0"
"45-49","92","83","14","2"
"50-54","160","139","19","0"
"55-59","153","154","31","3"
"60-64","91","89","35","2"
"65-69","67","66","38","7"
"70-74","62","56","40","12"
"75-79","80","70","67","20"
"80-84","89","77","84","24"
"85-89","46","28","33","17"
"90+","50","11","20","16"

"Datenstand 28.04.2020 20:07:54"
