"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","0","0"
"10-14","12","10","3","0"
"15-19","50","44","3","0"
"20-24","98","81","4","0"
"25-29","124","107","12","0"
"30-34","90","107","9","0"
"35-39","107","77","5","0"
"40-44","87","89","8","0"
"45-49","99","103","17","2"
"50-54","169","154","22","0"
"55-59","163","171","39","4"
"60-64","94","94","38","4"
"65-69","72","68","42","7"
"70-74","64","60","40","13"
"75-79","85","72","71","23"
"80-84","95","80","88","29"
"85-89","54","29","37","20"
"90+","56","13","23","21"

"Datenstand 09.05.2020 20:00:24"
