"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","172,71","540","+4","109","+1","29",""
"Stormarn","OD","160,43","389","-2","38","+1","22","+3"
"Kiel","KI","106,07","263","+3","61","+1","9",""
"Herzogtum Lauenburg","RZ","132,60","260","+2","42","","9",""
"Rendsburg-Eckernförde","RD","85,34","233","+1","44","+1","14",""
"Segeberg","SE","79,92","219","+2","33","+3","3",""
"Lübeck","HL","74,43","161","","8","","1",""
"Schleswig-Flensburg","SL","63,16","126","","12","","3",""
"Plön","PLO","91,59","118","+1","27","","6",""
"Steinburg","IZ","62,30","82","","17","","3",""
"Nordfriesland","NF","46,54","77","","11","","1",""
"Neumünster","NMS","83,19","66","+1","7","","1",""
"Ostholstein","OH","32,41","65","+1","6","","0",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","92,91","2.685","+13","430","+7","106","+3"

"Datenstand 29.04.2020 23:20:04"
