"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","172,80","419","","52","","33",""
"Segeberg","SE","121,16","332","+1","42","","7",""
"Kiel","KI","113,33","281","","65","","10",""
"Herzogtum Lauenburg","RZ","135,66","266","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","138,28","182","+1","23","","3",""
"Lübeck","HL","76,74","166","","8","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","52,46","70","","15","","4",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Flensburg","FL","51,97","46","","6","","3",""
"-"
"Schleswig-Holstein","SH","108,42","3.133","+2","507","","152",""

"Datenstand 19.06.2020 20:35:24"
