"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","207,89","650","+3","130","","47",""
"Stormarn","OD","187,24","454","+5","51","","34",""
"Segeberg","SE","129,55","355","+1","44","","7",""
"Kiel","KI","133,90","332","+5","71","+1","10",""
"Herzogtum Lauenburg","RZ","142,80","280","","49","","17",""
"Rendsburg-Eckernförde","RD","100,36","274","","47","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","84,14","182","","10","","1",""
"Schleswig-Flensburg","SL","82,71","165","+1","19","","4",""
"Plön","PLO","102,45","132","+3","32","+2","8",""
"Dithmarschen","HEI","89,92","120","+4","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Ostholstein","OH","42,38","85","+2","11","+1","0",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Flensburg","FL","62,13","55","","6","","3",""
"-"
"Schleswig-Holstein","SH","119,42","3.451","+24","543","+4","156",""

"Datenstand 31.07.2020 19:04:13"
