"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","11","17","3","0"
"05-09","16","21","2","0"
"10-14","25","18","3","0"
"15-19","61","49","4","0"
"20-24","115","93","4","0"
"25-29","131","121","13","0"
"30-34","106","115","11","0"
"35-39","120","84","5","0"
"40-44","105","97","9","0"
"45-49","107","122","20","3"
"50-54","177","161","24","0"
"55-59","178","188","44","6"
"60-64","103","100","40","7"
"65-69","75","73","46","9"
"70-74","66","65","45","18"
"75-79","94","75","80","26"
"80-84","100","90","97","36"
"85-89","61","36","45","25"
"90+","67","18","23","25"

"Datenstand 19.07.2020 18:15:33"
