"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","16","30","3","0"
"05-09","33","34","3","0"
"10-14","43","40","4","0"
"15-19","78","61","4","0"
"20-24","132","112","6","0"
"25-29","153","134","14","0"
"30-34","130","132","14","0"
"35-39","137","110","6","0"
"40-44","123","116","13","0"
"45-49","124","138","20","3"
"50-54","191","177","24","0"
"55-59","188","199","47","6"
"60-64","108","108","43","7"
"65-69","79","81","49","10"
"70-74","70","70","48","18"
"75-79","99","79","85","26"
"80-84","101","93","101","37"
"85-89","67","35","48","26"
"90+","71","19","26","25"

"Datenstand 12.08.2020 19:10:07"
