"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","9","16","3","0"
"05-09","12","15","1","0"
"10-14","14","14","3","0"
"15-19","55","45","3","0"
"20-24","110","90","4","0"
"25-29","127","116","13","0"
"30-34","101","112","10","0"
"35-39","115","81","5","0"
"40-44","96","93","7","0"
"45-49","106","111","18","3"
"50-54","175","160","24","0"
"55-59","177","183","44","6"
"60-64","101","100","40","6"
"65-69","74","73","45","9"
"70-74","66","64","44","18"
"75-79","93","74","81","25"
"80-84","100","89","96","36"
"85-89","61","35","44","24"
"90+","66","18","23","25"

"Datenstand 27.06.2020 20:32:19"
