"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","18","32","3","0"
"05-09","37","35","3","0"
"10-14","49","46","4","0"
"15-19","84","65","4","0"
"20-24","135","118","6","0"
"25-29","156","136","14","0"
"30-34","132","133","14","0"
"35-39","140","113","8","0"
"40-44","127","121","14","0"
"45-49","124","142","22","3"
"50-54","193","178","24","0"
"55-59","188","199","47","6"
"60-64","108","109","43","7"
"65-69","79","82","49","10"
"70-74","70","70","48","18"
"75-79","99","79","87","26"
"80-84","102","93","101","37"
"85-89","67","35","48","26"
"90+","72","19","28","25"

"Datenstand 16.08.2020 20:43:05"
