"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","202,14","632","+1","130","","46",""
"Stormarn","OD","179,40","435","","50","","34",""
"Segeberg","SE","129,19","354","","44","","7",""
"Kiel","KI","126,64","314","+2","68","","10",""
"Herzogtum Lauenburg","RZ","139,74","274","","49","","17",""
"Rendsburg-Eckernförde","RD","95,96","262","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","82,75","179","","10","","1",""
"Schleswig-Flensburg","SL","80,70","161","","19","","4",""
"Plön","PLO","97,02","125","","28","","8",""
"Nordfriesland","NF","55,60","92","","15","","2",""
"Dithmarschen","HEI","66,69","89","+1","21","+1","4",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Ostholstein","OH","40,38","81","","8","","0",""
"Flensburg","FL","58,74","52","","6","","3",""
"-"
"Schleswig-Holstein","SH","114,96","3.322","+4","528","+1","155",""

"Datenstand 26.07.2020 19:13:11"
