"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","6","13","2","0"
"05-09","12","14","0","0"
"10-14","11","9","3","0"
"15-19","50","35","3","0"
"20-24","93","70","4","0"
"25-29","120","88","12","0"
"30-34","85","88","8","0"
"35-39","99","73","4","0"
"40-44","79","71","8","0"
"45-49","93","85","15","2"
"50-54","162","140","20","0"
"55-59","155","156","32","3"
"60-64","90","89","35","3"
"65-69","69","66","38","7"
"70-74","62","57","40","12"
"75-79","80","71","70","21"
"80-84","90","80","87","27"
"85-89","46","28","33","18"
"90+","52","12","20","17"

"Datenstand 30.04.2020 21:52:55"
