"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","236,33","743","","135","","47",""
"Stormarn","OD","220,40","536","+4","53","","35",""
"Kiel","KI","174,11","431","","79","","11",""
"Segeberg","SE","148,17","409","","44","","7",""
"Rendsburg-Eckernförde","RD","119,88","327","","50","","14",""
"Herzogtum Lauenburg","RZ","157,15","310","+4","50","","18",""
"Lübeck","HL","103,59","225","+1","11","","1",""
"Steinburg","IZ","152,27","200","+1","25","","3",""
"Schleswig-Flensburg","SL","88,49","177","","20","","4",""
"Plön","PLO","118,93","153","","35","","8",""
"Dithmarschen","HEI","114,11","152","+1","25","","4",""
"Nordfriesland","NF","64,65","107","+1","16","","2",""
"Neumünster","NMS","130,84","104","","10","","3",""
"Ostholstein","OH","46,86","94","","12","","0",""
"Flensburg","FL","84,91","76","+4","6","","3",""
"-"
"Schleswig-Holstein","SH","139,61","4.044","+16","571","","160",""

"Datenstand 31.08.2020 18:55:58"
