"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","8","16","3","0"
"05-09","12","15","1","0"
"10-14","14","14","3","0"
"15-19","53","45","3","0"
"20-24","109","89","4","0"
"25-29","126","116","13","0"
"30-34","101","110","9","0"
"35-39","114","79","5","0"
"40-44","95","92","7","0"
"45-49","106","110","18","3"
"50-54","175","158","24","0"
"55-59","176","182","43","6"
"60-64","101","99","40","6"
"65-69","74","72","45","9"
"70-74","65","63","43","17"
"75-79","92","74","81","25"
"80-84","100","88","95","36"
"85-89","60","35","43","24"
"90+","65","16","24","25"

"Datenstand 13.06.2020 19:12:56"
