"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","22","3","0"
"05-09","23","26","2","0"
"10-14","34","31","4","0"
"15-19","69","54","4","0"
"20-24","126","102","4","0"
"25-29","146","131","14","0"
"30-34","120","126","15","0"
"35-39","127","98","6","0"
"40-44","118","108","13","0"
"45-49","118","128","20","3"
"50-54","185","171","24","0"
"55-59","183","196","46","6"
"60-64","107","104","42","7"
"65-69","76","81","49","10"
"70-74","68","67","48","18"
"75-79","97","78","84","26"
"80-84","101","92","99","36"
"85-89","65","35","47","26"
"90+","71","18","25","25"

"Datenstand 04.08.2020 19:34:11"
