"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","172,80","419","","52","","33",""
"Segeberg","SE","120,79","331","+1","42","","7",""
"Kiel","KI","113,33","281","","65","","10",""
"Herzogtum Lauenburg","RZ","135,15","265","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","137,52","181","","23","","3",""
"Lübeck","HL","76,74","166","","8","","1",""
"Schleswig-Flensburg","SL","79,70","159","","18","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","98,32","78","-1","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","47,96","64","+1","15","","4","+1"
"Flensburg","FL","49,71","44","","6","","3",""
"-"
"Schleswig-Holstein","SH","108,03","3.122","+1","507","","152","+1"

"Datenstand 16.06.2020 18:43:42"
