"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","230,60","721","+1","133","","47",""
"Stormarn","OD","213,22","517","+1","53","","35",""
"Kiel","KI","168,59","418","+8","78","","11",""
"Segeberg","SE","141,96","389","+3","44","","7",""
"Rendsburg-Eckernförde","RD","116,11","317","+2","50","","14",""
"Herzogtum Lauenburg","RZ","149,94","294","+1","50","","18",""
"Lübeck","HL","96,15","208","+1","11","","1",""
"Steinburg","IZ","149,68","197","+1","25","","3",""
"Schleswig-Flensburg","SL","86,72","173","","20","","4",""
"Plön","PLO","117,97","152","","35","","8",""
"Dithmarschen","HEI","109,41","146","","25","","4",""
"Nordfriesland","NF","60,44","100","","16","","2",""
"Neumünster","NMS","122,27","97","","10","","3",""
"Ostholstein","OH","45,87","92","","12","","0",""
"Flensburg","FL","77,95","69","","6","","3",""
"-"
"Schleswig-Holstein","SH","134,61","3.890","+18","568","","160",""

"Datenstand 21.08.2020 18:48:24"
