"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","209,49","655","+5","130","","47",""
"Stormarn","OD","187,24","454","","51","","34",""
"Segeberg","SE","129,55","355","","44","","7",""
"Kiel","KI","133,90","332","","71","","10",""
"Herzogtum Lauenburg","RZ","142,80","280","","49","","17",""
"Rendsburg-Eckernförde","RD","100,72","275","+1","47","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","84,14","182","","10","","1",""
"Schleswig-Flensburg","SL","83,21","166","+1","19","","4",""
"Plön","PLO","102,45","132","","32","","8",""
"Dithmarschen","HEI","92,17","123","+3","23","","4",""
"Nordfriesland","NF","57,41","95","","16","","2",""
"Ostholstein","OH","42,38","85","","11","","0",""
"Neumünster","NMS","105,88","84","+1","10","","2",""
"Flensburg","FL","63,26","56","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","119,83","3.463","+12","543","","156",""

"Datenstand 01.08.2020 18:22:48"
