"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","","129","","42",""
"Stormarn","OD","170,33","413","","51","","30",""
"Segeberg","SE","113,86","312","","37","","4",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","","47","","15",""
"Rendsburg-Eckernförde","RD","92,30","252","","45","","14",""
"Steinburg","IZ","129,93","171","","19","","3",""
"Lübeck","HL","77,20","167","","8","","1",""
"Schleswig-Flensburg","SL","77,19","154","","15","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","51,37","85","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","44,06","39","","6","","2",""
"-"
"Schleswig-Holstein","SH","105,96","3.062","","490","","137",""

"Datenstand 24.05.2020 18:35:30"
