"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","7","14","2","0"
"05-09","12","15","0","0"
"10-14","15","10","3","0"
"15-19","53","44","3","0"
"20-24","101","86","4","0"
"25-29","124","115","12","0"
"30-34","94","109","8","0"
"35-39","111","78","5","0"
"40-44","90","91","8","0"
"45-49","103","106","17","2"
"50-54","169","157","22","0"
"55-59","165","173","40","4"
"60-64","97","95","40","4"
"65-69","73","71","45","8"
"70-74","64","60","41","13"
"75-79","88","73","75","23"
"80-84","97","81","88","29"
"85-89","56","29","39","20"
"90+","58","15","24","23"

"Datenstand 16.05.2020 21:39:57"
