"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","188,06","588","+1","121","+1","37","+1"
"Stormarn","OD","166,62","404","+2","43","+1","27",""
"Segeberg","SE","102,55","281","+8","35","+1","3",""
"Kiel","KI","111,32","276","+1","65","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","","45","","11",""
"Rendsburg-Eckernförde","RD","90,84","248","+4","45","","14",""
"Steinburg","IZ","127,65","168","+2","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","","12","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","48,95","81","","13","","1",""
"Neumünster","NMS","94,54","75","+1","8","","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","102,26","2.955","+19","466","+3","124","+1"

"Datenstand 10.05.2020 20:44:46"
