"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","239,51","753","","136","","47",""
"Stormarn","OD","225,74","549","+4","54","+1","35",""
"Kiel","KI","175,32","434","-1","78","","11",""
"Segeberg","SE","150,71","416","+2","45","","7",""
"Rendsburg-Eckernförde","RD","122,08","333","+1","51","","14",""
"Herzogtum Lauenburg","RZ","161,21","318","+1","51","","18",""
"Lübeck","HL","104,05","226","","11","","1",""
"Steinburg","IZ","153,03","201","+1","25","","3",""
"Schleswig-Flensburg","SL","88,49","177","","20","","4",""
"Dithmarschen","HEI","116,36","155","","25","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","140,90","112","","10","","3",""
"Nordfriesland","NF","66,46","110","","16","","2",""
"Ostholstein","OH","47,86","96","","14","","0",""
"Flensburg","FL","90,50","81","","6","","3",""
"-"
"Schleswig-Holstein","SH","142,06","4.115","+8","577","+1","161",""

"Datenstand 04.09.2020 19:02:44"
