"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","216,21","676","+7","132","+1","47",""
"Stormarn","OD","199,20","483","+6","51","","34",""
"Segeberg","SE","134,29","368","+4","44","","7",""
"Kiel","KI","141,97","352","+2","73","+1","10",""
"Rendsburg-Eckernförde","RD","109,88","300","+5","49","","14",""
"Herzogtum Lauenburg","RZ","147,39","289","","50","","18",""
"Steinburg","IZ","144,36","190","","24","","3",""
"Lübeck","HL","86,91","188","+2","10","","1",""
"Schleswig-Flensburg","SL","84,71","169","","20","","4",""
"Plön","PLO","112,54","145","+3","35","+2","8",""
"Dithmarschen","HEI","95,92","128","+1","23","","4",""
"Nordfriesland","NF","58,62","97","","16","","2",""
"Neumünster","NMS","113,44","90","+1","10","","3",""
"Ostholstein","OH","43,37","87","+1","12","","0",""
"Flensburg","FL","65,52","58","","6","","3",""
"-"
"Schleswig-Holstein","SH","125,27","3.620","+32","555","+4","158",""

"Datenstand 10.08.2020 18:49:21"
