"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","5","9","2","0"
"05-09","8","11","0","0"
"10-14","6","6","2","0"
"15-19","42","29","3","0"
"20-24","85","64","4","0"
"25-29","101","80","9","0"
"30-34","68","80","8","0"
"35-39","83","65","3","0"
"40-44","69","60","6","0"
"45-49","82","70","12","1"
"50-54","139","127","15","0"
"55-59","140","145","29","3"
"60-64","76","84","29","1"
"65-69","59","58","31","2"
"70-74","54","48","36","6"
"75-79","70","61","59","13"
"80-84","73","67","64","14"
"85-89","41","22","26","11"
"90+","37","8","14","8"

"Datenstand 16.04.2020 20:30:24"
