"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","179,11","560","+6","113","+1","33","+1"
"Stormarn","OD","162,49","394","+1","40","+1","23",""
"Kiel","KI","106,88","265","+1","62","+1","9",""
"Herzogtum Lauenburg","RZ","133,11","261","","42","","9",""
"Rendsburg-Eckernförde","RD","86,07","235","","44","","14",""
"Segeberg","SE","82,11","225","+1","33","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,16","126","","12","","3",""
"Plön","PLO","92,36","119","","27","","8",""
"Steinburg","IZ","63,82","84","","18","","3",""
"Nordfriesland","NF","48,35","80","","12","","1",""
"Neumünster","NMS","84,45","67","+1","7","","1",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","40,47","54","","9","","3",""
"Flensburg","FL","36,15","32","","6","","2",""
"-"
"Schleswig-Holstein","SH","94,57","2.733","+10","439","+3","113","+1"

"Datenstand 02.05.2020 20:12:07"
