"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","205,01","641","-3","130","","47",""
"Stormarn","OD","181,05","439","","50","","34",""
"Segeberg","SE","129,19","354","","44","","7",""
"Kiel","KI","129,87","322","+5","70","+1","10",""
"Herzogtum Lauenburg","RZ","142,80","280","+3","49","","17",""
"Rendsburg-Eckernförde","RD","98,89","270","+3","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","84,14","182","","10","","1",""
"Schleswig-Flensburg","SL","81,70","163","+2","19","","4",""
"Plön","PLO","100,12","129","+1","30","+1","8",""
"Dithmarschen","HEI","86,93","116","+7","23","+1","4",""
"Nordfriesland","NF","56,81","94","+1","16","","2",""
"Ostholstein","OH","41,88","84","+2","11","+3","0",""
"Neumünster","NMS","104,62","83","","10","","2",""
"Flensburg","FL","62,13","55","+1","6","","3",""
"-"
"Schleswig-Holstein","SH","117,69","3.401","+22","538","+6","156",""

"Datenstand 29.07.2020 19:05:44"
