"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","14","24","3","0"
"05-09","28","29","3","0"
"10-14","40","33","4","0"
"15-19","76","58","4","0"
"20-24","128","110","5","0"
"25-29","152","133","14","0"
"30-34","122","129","14","0"
"35-39","131","103","6","0"
"40-44","122","110","13","0"
"45-49","123","135","20","3"
"50-54","190","175","24","0"
"55-59","185","197","46","6"
"60-64","107","106","42","7"
"65-69","77","81","49","10"
"70-74","69","69","48","18"
"75-79","97","79","85","26"
"80-84","101","93","101","37"
"85-89","67","35","48","26"
"90+","71","19","26","25"

"Datenstand 10.08.2020 18:49:21"
