"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","18","32","3","0"
"05-09","37","36","3","0"
"10-14","49","47","4","0"
"15-19","84","66","4","0"
"20-24","137","122","7","0"
"25-29","156","137","14","0"
"30-34","133","134","14","0"
"35-39","141","112","8","0"
"40-44","127","122","14","0"
"45-49","126","143","21","3"
"50-54","194","179","24","0"
"55-59","188","199","47","6"
"60-64","108","108","43","7"
"65-69","79","83","49","10"
"70-74","70","70","48","18"
"75-79","99","79","87","26"
"80-84","102","94","101","37"
"85-89","67","35","48","26"
"90+","72","19","28","25"

"Datenstand 17.08.2020 19:58:38"
