"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","189,66","593","","124","+1","37",""
"Stormarn","OD","167,44","406","+1","48","+2","27",""
"Segeberg","SE","106,19","291","+1","36","","3",""
"Kiel","KI","111,72","277","","64","","9",""
"Herzogtum Lauenburg","RZ","135,66","266","+1","46","","12",""
"Rendsburg-Eckernförde","RD","91,93","251","+1","45","","14",""
"Steinburg","IZ","126,13","166","","19","","3",""
"Lübeck","HL","76,28","165","","8","","1",""
"Schleswig-Flensburg","SL","63,66","127","+1","12","","3",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","50,77","84","+3","13","","1",""
"Neumünster","NMS","98,32","78","+3","9","+1","2",""
"Ostholstein","OH","32,90","66","","6","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","37,28","33","","6","","2",""
"-"
"Schleswig-Holstein","SH","103,19","2.982","+11","476","+4","125",""

"Datenstand 13.05.2020 19:31:28"
