"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","24","33","3","0"
"05-09","42","41","3","0"
"10-14","53","51","4","0"
"15-19","89","70","4","0"
"20-24","146","135","7","0"
"25-29","170","152","15","0"
"30-34","141","140","14","0"
"35-39","147","117","8","0"
"40-44","129","124","14","0"
"45-49","133","146","21","3"
"50-54","201","183","24","0"
"55-59","189","205","47","6"
"60-64","108","112","43","7"
"65-69","80","84","49","10"
"70-74","70","70","48","18"
"75-79","101","80","87","26"
"80-84","103","95","102","37"
"85-89","67","35","48","26"
"90+","72","19","28","27"

"Datenstand 25.08.2020 18:58:40"
