"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","226,76","709","+1","133","","47",""
"Stormarn","OD","209,51","508","+8","53","","34",""
"Kiel","KI","157,29","390","","77","","10",""
"Segeberg","SE","138,31","379","+2","44","","7",""
"Rendsburg-Eckernförde","RD","115,01","314","","50","","14",""
"Herzogtum Lauenburg","RZ","149,43","293","+1","50","","18",""
"Lübeck","HL","93,38","202","+4","11","","1",""
"Steinburg","IZ","148,16","195","","25","","3",""
"Schleswig-Flensburg","SL","86,21","172","+1","20","","4",""
"Plön","PLO","117,20","151","","35","","8",""
"Dithmarschen","HEI","107,91","144","","25","","4",""
"Nordfriesland","NF","59,23","98","","16","","2",""
"Neumünster","NMS","121,01","96","","10","","3",""
"Ostholstein","OH","45,37","91","","12","","0",""
"Flensburg","FL","73,43","65","","6","","3",""
"-"
"Schleswig-Holstein","SH","131,74","3.807","+17","567","","158",""

"Datenstand 17.08.2020 19:58:38"
