"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","192,54","602","","129","","46",""
"Stormarn","OD","172,80","419","","52","","33",""
"Segeberg","SE","120,79","331","","42","","5",""
"Kiel","KI","113,33","281","+2","65","+1","9",""
"Herzogtum Lauenburg","RZ","135,15","265","","47","","16",""
"Rendsburg-Eckernförde","RD","93,40","255","","46","","14",""
"Steinburg","IZ","136,76","180","+1","22","","3",""
"Lübeck","HL","76,74","166","","8","","1",""
"Schleswig-Flensburg","SL","79,20","158","","16","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","53,79","89","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","46,46","62","","14","","3",""
"Flensburg","FL","49,71","44","","6","","3",""
"-"
"Schleswig-Holstein","SH","107,93","3.119","+3","503","+1","148",""

"Datenstand 11.06.2020 18:56:43"
