"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","191,58","599","","129","","44","+1"
"Stormarn","OD","171,57","416","+1","52","","32",""
"Segeberg","SE","114,95","315","+1","37","","4",""
"Kiel","KI","112,12","278","","64","","9",""
"Herzogtum Lauenburg","RZ","134,64","264","","47","","16",""
"Rendsburg-Eckernförde","RD","93,03","254","+1","46","","14",""
"Steinburg","IZ","135,24","178","+3","21","+1","3",""
"Lübeck","HL","77,20","167","","8","","1",""
"Schleswig-Flensburg","SL","77,19","154","","15","","4",""
"Plön","PLO","93,14","120","","27","","8",""
"Nordfriesland","NF","51,37","85","","13","","1",""
"Neumünster","NMS","99,58","79","","9","","2",""
"Ostholstein","OH","33,90","68","","7","","0",""
"Dithmarschen","HEI","44,21","59","","13","","3",""
"Flensburg","FL","45,19","40","","6","","3",""
"-"
"Schleswig-Holstein","SH","106,44","3.076","+6","494","+1","144","+1"

"Datenstand 28.05.2020 19:20:47"
