"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","232,52","727","","134","","47",""
"Stormarn","OD","215,28","522","+5","53","","35",""
"Kiel","KI","170,20","422","+2","78","","11",""
"Segeberg","SE","142,69","391","","44","","7",""
"Rendsburg-Eckernförde","RD","117,94","322","+4","50","","14",""
"Herzogtum Lauenburg","RZ","150,45","295","+1","50","","18",""
"Lübeck","HL","96,15","208","","11","","1",""
"Steinburg","IZ","150,44","198","+1","25","","3",""
"Schleswig-Flensburg","SL","87,72","175","+2","20","","4",""
"Plön","PLO","117,97","152","","35","","8",""
"Dithmarschen","HEI","110,91","148","+2","25","","4",""
"Nordfriesland","NF","61,04","101","","16","","2",""
"Neumünster","NMS","127,31","101","+3","10","","3",""
"Ostholstein","OH","46,36","93","","12","","0",""
"Flensburg","FL","81,34","72","+3","6","","3",""
"-"
"Schleswig-Holstein","SH","135,89","3.927","+23","569","","160",""

"Datenstand 24.08.2020 20:08:05"
